     ALA3gK   C2022 10 31.55708 03 27 53.170+14 03 40.61         24.5 G      T14
     ALA3gN  *C2022 10 31.55005 03 28 01.87 +14 04 14.7          24.7        568
     ALA3gN  *C2022 10 31.55355 03 28 01.70 +14 04 14.0          24.0        568
     ALA3gN  *C2022 10 31.55708 03 28 01.53 +14 04 13.3          24.0        568
     ALA3gR  *C2022 10 31.55005 03 27 25.67 +14 05 38.1          24.0        568
     ALA3gR  *C2022 10 31.55355 03 27 25.54 +14 05 37.6          24.2        568
     ALA3gR  *C2022 10 31.55708 03 27 25.39 +14 05 37.1          24.9        568
     ALA3gw  *C2022 10 31.55005 03 28 44.62 +13 53 38.6          24.5        568
     ALA3gw  *C2022 10 31.55355 03 28 44.39 +13 53 38.8          24.2        568
     ALA3gw  *C2022 10 31.55708 03 28 44.20 +13 53 38.9          24.6        568
     ALA3gW  *C2022 10 31.55005 03 27 06.38 +14 08 14.8          25.5        568
     ALA3gW  *C2022 10 31.55355 03 27 06.24 +14 08 14.1          24.7        568
     ALA3gW  *C2022 10 31.55708 03 27 06.12 +14 08 13.4          24.5        568
     ALA3h3  *C2022 10 31.55005 03 28 20.81 +13 51 43.0          24.1        568
     ALA3h3  *C2022 10 31.55355 03 28 20.64 +13 51 42.1          24.1        568
     ALA3h3  *C2022 10 31.55708 03 28 20.42 +13 51 41.2          24.4        568
     ALA3h8  *C2022 10 31.55005 03 28 06.05 +13 52 57.4          23.9        568
     ALA3h8  *C2022 10 31.55355 03 28 05.87 +13 52 56.4          23.7        568
     ALA3h8  *C2022 10 31.55708 03 28 05.68 +13 52 55.5          23.6        568
     ALA3h9  *C2022 10 31.55005 03 28 01.03 +13 52 21.0          25.3        568
     ALA3h9  *C2022 10 31.55355 03 28 00.81 +13 52 20.1          25.2        568
     ALA3h9  *C2022 10 31.55708 03 28 00.64 +13 52 19.4          24.3        568
     ALA3hA  *C2022 10 31.55005 03 28 02.85 +13 50 26.1          24.0        568
     ALA3hA  *C2022 10 31.55355 03 28 02.64 +13 50 25.1          23.9        568
     ALA3hA  *C2022 10 31.55708 03 28 02.50 +13 50 24.3          24.6        568
     ALA3Ju  *C2022 10 31.54652 03 33 15.44 +14 36 42.4          23.8        568
     ALA3MB  *C2022 10 31.54652 03 29 42.60 +14 24 45.5          24.3        568
     ALA3MC  #C2022 10 31.55005 03 29 32.959+13 58 05.41                     T14
     ALA3MC  #C2022 10 31.55355 03 29 32.779+13 58 00.80                     T14
     ALA3MC  #C2022 10 31.55708 03 29 32.570+13 57 56.02                     T14
     ALA3Ni  *C2022 10 31.55005 03 28 02.39 +14 26 31.1          23.4        568
     ALA3Ni  *C2022 10 31.55355 03 28 02.19 +14 26 30.6          23.4        568
     ALA3Ni  *C2022 10 31.55708 03 28 01.99 +14 26 30.0          23.4        568
     ALA3NJ  *C2022 10 31.54652 03 29 44.61 +14 02 07.5          22.3        568
     ALA3NJ  *C2022 10 31.55005 03 29 44.41 +14 02 08.7          22.3        568
     ALA3NJ  *C2022 10 31.55355 03 29 44.19 +14 02 09.5          22.2        568
     ALA3NJ  *C2022 10 31.55708 03 29 43.97 +14 02 10.6          22.3        568
     ALA3uc  *C2022 10 31.55005 03 28 08.090+14 09 12.31         25.2 g      568
     ALA3uc  *C2022 10 31.55355 03 28 07.980+14 09 11.99         25.8 g      568
     ALA3uc  *C2022 10 31.55708 03 28 07.870+14 09 11.59         24.6 g      568
